CVEGEOGRAFICA,NOMBRE,CVEMUNICIPIO,CVEGEOENTIDAD,CVEPAIS
01001,Aguascalientes,001,01,MEX
01002,Asientos,002,01,MEX
01003,Calvillo,003,01,MEX
01004,Cosío,004,01,MEX
01005,Jesús María,005,01,MEX
01006,Pabellón de Arteaga,006,01,MEX
01007,Rincón de Romos,007,01,MEX
01008,San José de Gracia,008,01,MEX
01009,Tepezalá,009,01,MEX
01010,El Llano,010,01,MEX
01011,San Francisco de los Romo,011,01,MEX
02001,Ensenada,001,02,MEX
02002,Mexicali,002,02,MEX
02003,Tecate,003,02,MEX
02004,Tijuana,004,02,MEX
02005,Playas de Rosarito,005,02,MEX
02006,San Quintín,006,02,MEX
02007,San Felipe,007,02,MEX
03001,Comondú,001,03,MEX
03002,Mulegé,002,03,MEX
03003,La Paz,003,03,MEX
03008,Los Cabos,008,03,MEX
03009,Loreto,009,03,MEX
04001,Calkiní,001,04,MEX
04002,Campeche,002,04,MEX
04003,Carmen,003,04,MEX
04004,Champotón,004,04,MEX
04005,Hecelchakán,005,04,MEX
04006,Hopelchén,006,04,MEX
04007,Palizada,007,04,MEX
04008,Tenabo,008,04,MEX
04009,Escárcega,009,04,MEX
04010,Calakmul,010,04,MEX
04011,Candelaria,011,04,MEX
04012,Seybaplaya,012,04,MEX
04013,Dzitbalché,013,04,MEX
05001,Abasolo,001,05,MEX
05002,Acuńa,002,05,MEX
05003,Allende,003,05,MEX
05004,Arteaga,004,05,MEX
05005,Candela,005,05,MEX
05006,Castańos,006,05,MEX
05007,Cuatro Ciénegas,007,05,MEX
05008,Escobedo,008,05,MEX
05009,Francisco I. Madero,009,05,MEX
05010,Frontera,010,05,MEX
05011,General Cepeda,011,05,MEX
05012,Guerrero,012,05,MEX
05013,Hidalgo,013,05,MEX
05014,Jiménez,014,05,MEX
05015,Juárez,015,05,MEX
05016,Lamadrid,016,05,MEX
05017,Matamoros,017,05,MEX
05018,Monclova,018,05,MEX
05019,Morelos,019,05,MEX
05020,Múzquiz,020,05,MEX
05021,Nadadores,021,05,MEX
05022,Nava,022,05,MEX
05023,Ocampo,023,05,MEX
05024,Parras,024,05,MEX
05025,Piedras Negras,025,05,MEX
05026,Progreso,026,05,MEX
05027,Ramos Arizpe,027,05,MEX
05028,Sabinas,028,05,MEX
05029,Sacramento,029,05,MEX
05030,Saltillo,030,05,MEX
05031,San Buenaventura,031,05,MEX
05032,San Juan de Sabinas,032,05,MEX
05033,San Pedro,033,05,MEX
05034,Sierra Mojada,034,05,MEX
05035,Torreón,035,05,MEX
05036,Viesca,036,05,MEX
05037,Villa Unión,037,05,MEX
05038,Zaragoza,038,05,MEX
06001,Armería,001,06,MEX
06002,Colima,002,06,MEX
06003,Comala,003,06,MEX
06004,Coquimatlán,004,06,MEX
