CVEPAIS,NOMBRE,CODIGOTEL,CONTINENTE,CVEMONEDA
AFG,Afganistán,93,Asia,
ALB,Albania,355,Europa,
DEU,Alemania,49,Europa,EUR
DZA,Algeria,213,África,
AND,Andorra,376,Europa,
AGO,Angola,244,África,
AIA,Anguila,1 264,América,
ATA,Antártida,672,Antártida,
ATG,Antigua y Barbuda,1 268,América,
ANT,Antillas Neerlandesas,599,América,
SAU,Arabia Saudita,966,Asia,
ARG,Argentina,54,América,
ARM,Armenia,374,Asia,
ABW,Aruba,297,América,
AUS,Australia,61,Australia y Oceanía,
AUT,Austria,43,Europa,
AZE,Azerbayán,994,Asia,
BEL,Bélgica,32,Europa,
BHS,Bahamas,1 242,América,
BHR,Bahrein,973,Asia,
BGD,Bangladesh,880,Asia,
BRB,Barbados,1 246,América,
BLZ,Belice,501,América,BZD
BEN,Benín,229,África,
BTN,Bhután,975,Asia,
BLR,Bielorrusia,375,Europa,
MMR,Birmania,95,Asia,
BOL,Bolivia,591,América,
BIH,Bosnia y Herzegovina,387,Europa,
BWA,Botsuana,267,África,
BRA,Brasil,55,América,
BRN,Brunéi,673,Asia,
BGR,Bulgaria,359,Europa,
BFA,Burkina Faso,226,África,
BDI,Burundi,257,África,
CPV,Cabo Verde,238,África,
KHM,Camboya,855,Asia,
CMR,Camerún,237,África,
CAN,Canadá,1,América,CAD
TCD,Chad,235,África,
CHL,Chile,56,América,
CHN,China,86,Asia,
CYP,Chipre,357,Asia,
VAT,Ciudad del Vaticano,39,Europa,
COL,Colombia,57,América,
COM,Comoras,269,África,
COG,Congo,242,África,
COD,Congo,243,África,
PRK,Corea del Norte,850,Asia,
KOR,Corea del Sur,82,Asia,
CIV,Costa de Marfil,225,África,
CRI,Costa Rica,506,América,CRC
HRV,Croacia,385,Europa,
CUB,Cuba,53,América,CUP
DNK,Dinamarca,45,Europa,
DMA,Dominica,1 767,América,
ECU,Ecuador,593,América,
EGY,Egipto,20,África,
SLV,El Salvador,503,América,
ARE,Emiratos Árabes Unidos,971,Asia,
ERI,Eritrea,291,África,
SVK,Eslovaquia,421,Europa,
SVN,Eslovenia,386,Europa,
ESP,España,34,Europa,
USA,Estados Unidos de América,1,América,USD
EST,Estonia,372,Europa,
ETH,Etiopía,251,África,
PHL,Filipinas,63,Asia,
FIN,Finlandia,358,Europa,
FJI,Fiyi,679,Australia y Oceanía,
FRA,Francia,33,Europa,
GAB,Gabón,241,África,
GMB,Gambia,220,África,
GEO,Georgia,995,Asia,
GHA,Ghana,233,África,
GIB,Gibraltar,350,Europa,
GRD,Granada,1 473,América,
GRC,Grecia,30,Europa,
GRL,Groenlandia,299,América,
GLP,Guadalupe,,América,
GUM,Guam,1 671,Australia y Oceanía,
GTM,Guatemala,502,América,
GUF,Guayana Francesa,,América,
GGY,Guernsey,,Europa,
GIN,Guinea,224,África,
GNQ,Guinea Ecuatorial,240,África,
GNB,Guinea-Bissau,245,África,
GUY,Guyana,592,América,
HTI,Haití,509,América,
HND,Honduras,504,América,
HKG,Hong kong,852,Asia,
HUN,Hungría,36,Europa,
IND,India,91,Asia,
IDN,Indonesia,62,Asia,
IRN,Irán,98,Asia,
IRQ,Irak,964,Asia,
IRL,Irlanda,353,Europa,
BVT,Isla Bouvet,,Antártida,
IMN,Isla de Man,44,Europa,
CXR,Isla de Navidad,61,Asia,
NFK,Isla Norfolk,,Australia y Oceanía,
ISL,Islandia,354,Europa,
BMU,Islas Bermudas,1 441,América,
CYM,Islas Caimán,1 345,América,
CCK,Islas Cocos (Keeling),61,Asia,
COK,Islas Cook,682,Australia y Oceanía,
ALA,Islas de Åland,,Europa,
FRO,Islas Feroe,298,Europa,
SGS,Islas Georgias del Sur y Sandwich del Sur,,América,
HMD,Islas Heard y McDonald,,Antártida,
MDV,Islas Maldivas,960,Asia,
FLK,Islas Malvinas,500,América,
MNP,Islas Marianas del Norte,1 670,Australia y Oceanía,
MHL,Islas Marshall,692,Australia y Oceanía,
PCN,Islas Pitcairn,870,Australia y Oceanía,
SLB,Islas Salomón,677,Australia y Oceanía,
TCA,Islas Turcas y Caicos,1 649,América,
UMI,Islas Ultramarinas Menores de Estados Unidos,,,
VG,Islas Vírgenes Británicas,1 284,América,
VIR,Islas Vírgenes de los Estados Unidos,1 340,América,
ISR,Israel,972,Asia,
ITA,Italia,39,Europa,
JAM,Jamaica,1 876,América,
JPN,Japón,81,Asia,
JEY,Jersey,,Europa,
JOR,Jordania,962,Asia,
KAZ,Kazajistán,7,Asia,
KEN,Kenia,254,África,
KGZ,Kirgizstán,996,Asia,
KIR,Kiribati,686,Australia y Oceanía,
KWT,Kuwait,965,Asia,
LBN,Líbano,961,Asia,
LAO,Laos,856,Asia,
LSO,Lesoto,266,África,
LVA,Letonia,371,Europa,
LBR,Liberia,231,África,
LBY,Libia,218,África,
LIE,Liechtenstein,423,Europa,
LTU,Lituania,370,Europa,
LUX,Luxemburgo,352,Europa,
MEX,México,52,América,MXN
MCO,Mónaco,377,Europa,
MAC,Macao,853,Asia,
MKD,Macedônia,389,Europa,
MDG,Madagascar,261,África,
MYS,Malasia,60,Asia,
MWI,Malawi,265,África,
MLI,Mali,223,África,
MLT,Malta,356,Europa,
MAR,Marruecos,212,África,
MTQ,Martinica,,América,
MUS,Mauricio,230,África,
MRT,Mauritania,222,África,
MYT,Mayotte,262,África,
FSM,Micronesia,691,Australia y Oceanía,
MDA,Moldavia,373,Europa,
MNG,Mongolia,976,Asia,
MNE,Montenegro,382,Europa,
MSR,Montserrat,1 664,América,
MOZ,Mozambique,258,África,
